plane,car,bird,cat,deer,dog,frog,horse,ship,truck,total
66.66666666666667,83.33333333333333,33.333333333333336,60.0,61.904761904761905,63.1578947368421,46.666666666666664,57.89473684210526,81.25,60.0,62.5,
54.54545454545455,64.28571428571429,37.5,14.285714285714286,26.666666666666668,73.33333333333333,57.142857142857146,75.0,76.92307692307692,58.8235294117647,51.25,
76.92307692307692,68.42105263157895,60.869565217391305,44.44444444444444,64.70588235294117,42.857142857142854,47.05882352941177,58.333333333333336,46.666666666666664,91.66666666666667,59.375,
75.0,76.47058823529412,47.36842105263158,47.05882352941177,33.333333333333336,22.22222222222222,65.21739130434783,70.58823529411765,64.28571428571429,62.5,58.75,
57.142857142857146,63.1578947368421,31.25,50.0,60.0,44.44444444444444,38.888888888888886,63.63636363636363,61.53846153846154,60.0,52.5,
73.33333333333333,70.0,57.89473684210526,36.36363636363637,35.714285714285715,50.0,60.0,52.94117647058823,33.333333333333336,63.1578947368421,55.625,
42.857142857142854,81.25,41.666666666666664,28.571428571428573,42.857142857142854,36.36363636363637,70.0,72.22222222222223,76.19047619047619,46.15384615384615,55.625,
68.75,81.25,57.89473684210526,37.5,50.0,62.5,88.88888888888889,62.5,82.3529411764706,78.57142857142857,67.5,
46.15384615384615,87.5,47.36842105263158,56.25,77.77777777777777,43.75,85.71428571428571,85.71428571428571,55.55555555555556,58.8235294117647,64.375,
73.33333333333333,65.0,45.0,53.84615384615385,58.333333333333336,35.294117647058826,78.94736842105263,64.70588235294117,93.75,36.36363636363637,61.25,
78.57142857142857,56.25,18.75,41.1764705882353,61.53846153846154,31.818181818181817,81.81818181818181,58.8235294117647,78.94736842105263,53.333333333333336,54.375,
86.66666666666667,55.55555555555556,50.0,31.25,53.333333333333336,60.0,68.75,52.94117647058823,78.94736842105263,47.36842105263158,58.75,
66.66666666666667,61.53846153846154,30.0,55.0,61.904761904761905,46.666666666666664,57.142857142857146,70.58823529411765,62.5,66.66666666666667,58.75,
84.61538461538461,72.22222222222223,50.0,47.36842105263158,25.0,27.272727272727273,80.0,64.70588235294117,68.75,58.333333333333336,56.875,
